channel_title,Total Views,Total Trending videos,Like to Dislike Ratio
Philadelphia Eagles,2101312,6,7
Anew Start,2082164,6,33
NBA Highlights Ã‚Â· YouTube,2063293,7,0
Adam's Apple,2063267,5,26
austinmcconnell,2042338,13,37
ScreenPrism,2042168,14,10
PeterSripol,2038260,6,182
ChvrchesVEVO,2033978,6,26
Gatorade,2031164,2,81
My Self Reliance,2024741,12,58
officialcharlixcx,2005775,12,59
Max Skipper,2000143,7,47
Extra Credits,1993489,6,77
Chubbyemu,1988301,3,24
TechCrunch,1986576,11,9
MTV International,1969687,6,42
Keith Urban,1962651,6,9
Millie T,1957326,7,39
Passenger,1953666,7,87
The Royal Family Channel,1952878,15,6
Keke Palmer,1940696,14,25
Troye Sivan,1937252,5,93
Vet Ranch,1936133,5,57
Campo Santo Productions,1935545,7,3
Shade 45,1927753,8,1
Eater,1922159,21,12
LadBaby Official,1911447,10,45
Alex Meyers,1907690,8,62
